date,length,sex,age,strata
2023-06-06,515,M,1.1,
2023-06-06,538,M,1.1,
2023-06-06,552,M,NA,
2023-06-06,557,M,1.1,
2023-06-06,594,M,1.1,
2023-06-06,608,M,1.1,
2023-06-06,739,F,1.2,
2023-06-08,550,M,1.1,
2023-06-08,580,M,1.1,
2023-06-08,650,M,1.1,
2023-06-08,780,F,1.2,
2023-06-09,470,M,1.1,
2023-06-09,590,M,1.1,
2023-06-09,595,M,1.1,
2023-06-09,650,F,1.2,
2023-06-09,700,F,1.2,
2023-06-09,715,F,1.2,
2023-06-09,740,F,1.2,
2023-06-09,780,F,1.2,
2023-06-09,800,F,1.3,
2023-06-10,470,M,1.1,
2023-06-13,590,F,1.1,
2023-06-14,485,M,1.1,
2023-06-14,730,M,1.2,
2023-06-14,800,M,1.2,
2023-06-16,557,F,NA,
2023-06-16,693,F,NA,
2023-06-17,440,M,1.1,
2023-06-17,570,M,1.1,
2023-06-17,610,F,1.1,
2023-06-17,690,F,1.3,
2023-06-17,690,F,NA,
2023-06-17,695,F,1.2,
2023-06-17,710,F,1.2,
2023-06-17,735,F,1.2,
2023-06-17,760,M,1.2,
2023-06-17,760,M,1.3,
2023-06-17,775,F,1.3,
2023-06-17,780,F,1.3,
2023-06-18,460,M,1.1,
2023-06-18,520,M,1.1,
2023-06-18,650,M,1.2,
2023-06-18,690,M,1.2,
2023-06-18,690,F,NA,
2023-06-18,700,F,1.2,
2023-06-18,700,M,1.2,
2023-06-18,705,M,NA,
2023-06-18,720,M,NA,
2023-06-18,720,F,NA,
2023-06-18,740,M,1.2,
2023-06-18,760,M,1.3,
2023-06-18,790,F,NA,
2023-06-19,440,M,1.1,
2023-06-19,460,M,1.1,
2023-06-19,470,M,1.1,
2023-06-19,480,M,1.1,
2023-06-19,495,M,1.1,
2023-06-19,505,M,NA,
2023-06-19,510,M,1.1,
2023-06-19,520,M,1.2,
2023-06-19,530,M,1.1,
2023-06-19,530,M,1.1,
2023-06-19,540,M,1.1,
2023-06-19,630,F,1.2,
2023-06-19,660,M,1.1,
2023-06-19,670,F,1.2,
2023-06-19,670,M,1.2,
2023-06-19,670,F,1.2,
2023-06-19,690,F,1.2,
2023-06-19,710,M,1.2,
2023-06-19,720,M,1.2,
2023-06-19,720,F,1.2,
2023-06-19,720,M,1.2,
2023-06-19,720,F,1.3,
2023-06-19,725,F,1.2,
2023-06-19,730,F,1.3,
2023-06-19,740,F,1.3,
2023-06-19,740,M,1.3,
2023-06-19,750,M,1.3,
2023-06-19,820,M,1.3,
2023-06-20,460,M,1.1,
2023-06-20,470,M,NA,
2023-06-20,520,M,1.1,
2023-06-20,530,M,NA,
2023-06-20,550,M,1.1,
2023-06-20,640,M,1.2,
2023-06-20,670,F,1.2,
2023-06-20,670,F,1.2,
2023-06-20,725,M,1.3,
2023-06-20,730,F,1.2,
2023-06-20,730,M,1.3,
2023-06-20,730,F,1.3,
2023-06-20,735,M,1.2,
2023-06-20,740,F,NA,
2023-06-20,755,F,1.2,
2023-06-20,760,M,1.3,
2023-06-20,770,M,1.2,
2023-06-20,770,M,NA,
2023-06-20,775,M,1.3,
2023-06-20,805,M,1.2,
2023-06-21,465,M,NA,
2023-06-21,480,M,1.1,
2023-06-21,480,M,1.1,
2023-06-21,485,M,1.1,
2023-06-21,510,M,1.1,
2023-06-21,515,M,1.1,
2023-06-21,520,M,1.1,
2023-06-21,540,M,NA,
2023-06-21,575,M,1.1,
2023-06-21,590,M,1.1,
2023-06-21,590,F,1.1,
2023-06-21,680,F,NA,
2023-06-21,710,F,1.3,
2023-06-21,715,F,1.2,
