year,Hm.hat,cv.hm,Hx.hat,cv.hx,Ha.hat,cv.ha,MR.yentna,cv.mry,MR.mainstem,cv.mrm,weir.deshka,cv.wd,,as.main.dn,as.deshka,as.east.su,as.talkeetna,as.main.up,as.chulitna,as.lake,as.kahiltna,as.talachulitna,as.skwentna,as.other.yentna,,tlm.main.dn,tlm.deshka,tlm.east.su,tlm.talkeetna,tlm.main.up,tlm.chulitna,tlm.lake,tlm.kahiltna,tlm.talachulitna,tlm.skwentna,tlm.other.yentna,p.34,p.5,p.678
1979,533,0.05,712,0.1,6159,0.2,NA,0.25,,0.15,NA,0.05,,NA,27385,NA,NA,475,NA,4196,NA,1648,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.07,0.6,0.33
1980,757,0.05,1438,0.1,5906,0.2,NA,0.25,,0.15,NA,0.05,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.1,0.51,0.39
1981,658,0.05,1121,0.1,5546,0.2,NA,0.25,,0.15,NA,0.05,,NA,NA,4463,NA,1081,NA,NA,NA,2025,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.1,0.57,0.33
1982,1233,0.05,2506,0.1,7795,0.2,NA,0.25,,0.15,NA,0.05,,NA,16000,2847,4826,2164,863,3577,NA,3101,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.129,0.446,0.426
1983,917,0.05,1711,0.1,10228,0.2,NA,0.25,,0.15,NA,0.05,,NA,19237,5330,4138,4333,4058,7075,2769,10014,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.21,0.459,0.331
1984,866,0.05,2107,0.1,13432,0.2,NA,0.25,,0.15,NA,0.05,,NA,16892,NA,10520,3797,4191,NA,NA,6138,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.17,0.47,0.36
1985,1025,0.05,2761,0.1,13442,0.2,NA,0.25,,0.15,NA,0.05,,NA,18151,8464,8930,NA,783,5803,3107,5145,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.148,0.434,0.419
1986,4854,0.05,2937,0.1,18005,0.2,NA,0.25,,0.15,NA,0.05,,NA,21080,NA,NA,NA,NA,NA,2339,3686,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.326,0.402,0.273
1987,4031,0.05,2224,0.1,18438,0.2,NA,0.25,,0.15,NA,0.05,,NA,15028,8283,NA,3862,5252,4898,1858,NA,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.162,0.547,0.292
1988,4074,0.05,4687,0.1,19537,0.2,NA,0.25,,0.15,NA,0.05,,NA,19200,10267,14130,1858,NA,6633,4745,4112,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.131,0.252,0.617
1989,4231,0.05,4882,0.1,23485,0.2,NA,0.25,,0.15,NA,0.05,,NA,NA,11686,NA,1968,NA,NA,1321,NA,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.264,0.26,0.475
1990,3227,0.05,5119,0.1,20953,0.2,NA,0.25,,0.15,NA,0.05,,NA,18166,7507,11493,3359,2681,2075,2511,2694,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.179,0.432,0.39
1991,2415,0.05,6548,0.1,23244,0.2,NA,0.25,,0.15,NA,0.05,,NA,8112,5928,8744,2691,4410,3011,2957,2457,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.154,0.347,0.499
1992,1826,0.05,4124,0.1,34671,0.2,NA,0.25,,0.15,NA,0.05,,NA,7736,NA,5983,1557,2527,2322,1483,3648,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.313,0.315,0.372
1993,1405,0.05,5154,0.1,37466,0.2,NA,0.25,,0.15,NA,0.05,,NA,5769,NA,3909,991,2070,2869,3358,3269,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.21,0.462,0.328
1994,1234,0.05,3070,0.1,21368,0.2,NA,0.25,,0.15,NA,0.05,,NA,2665,5447,3458,1193,1806,1898,1201,1575,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.162,0.427,0.411
1995,1589,0.05,1217,0.1,12396,0.2,NA,0.25,,0.15,10048,0.05,,NA,5150,10205,5812,2301,3460,3017,2642,2521,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.389,0.289,0.322
1996,954,0.05,1005,0.1,14945,0.2,NA,0.25,,0.15,14349,0.05,,NA,6343,8020,7128,2764,4172,3514,1330,2748,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.484,0.379,0.137
1997,583,0.05,1470,0.1,16289,0.2,NA,0.25,,0.15,35587,0.05,,NA,19047,NA,12810,4786,5618,3841,4411,4494,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.172,0.658,0.17
1998,1062,0.05,1275,0.1,17792,0.2,NA,0.25,,0.15,15409,0.05,,NA,15556,11685,8359,1763,2586,5056,6138,2759,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.292,0.424,0.284
1999,1380,0.05,2241,0.1,26445,0.2,NA,0.25,,0.15,29649,0.05,,NA,12904,NA,8087,2846,5455,2877,5018,4890,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.308,0.437,0.255
2000,1198,0.05,2721,0.1,25551,0.2,NA,0.25,,0.15,35242,0.05,,NA,NA,8395,5932,1616,4218,4035,2357,2414,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.11,0.785,0.104
2001,1018,0.05,2313,0.1,24260,0.2,NA,0.25,,0.15,29004,0.05,,NA,NA,NA,7287,3626,2353,4661,4850,3309,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.257,0.462,0.281
2002,1045,0.05,1992,0.1,19815,0.2,NA,0.25,,0.15,29428,0.05,,NA,8749,10263,11410,4462,9002,4852,3630,7824,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.28,0.563,0.157
2003,926,0.05,2293,0.1,21733,0.2,NA,0.25,,0.15,40069,0.05,,NA,NA,NA,NA,2192,NA,8153,4556,9573,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.371,0.488,0.141
2004,1055,0.05,1294,0.1,22290,0.2,NA,0.25,,0.15,57934,0.05,,NA,28778,8853,8987,2565,2162,7598,3969,8352,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.19,0.66,0.15
2005,1244,0.05,1052,0.1,22311,0.2,NA,0.25,,0.15,37725,0.05,,NA,11495,10335,5786,2821,2838,6345,2968,4406,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.304,0.578,0.118
2006,1581,0.05,1396,0.1,21754,0.2,NA,0.25,,0.15,31150,0.05,,NA,6499,7322,5090,1660,2862,5300,2344,6152,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.227,0.551,0.221
2007,1433,0.05,412,0.1,19264,0.2,NA,0.25,,0.15,18714,0.05,,NA,6712,6416,8346,3301,5166,4081,1776,3871,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.091,0.711,0.198
2008,1516,0.05,1,0.1,12285,0.2,NA,0.25,,0.15,7533,0.05,,NA,NA,NA,4834,457,2514,2004,NA,2964,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.157,0.38,0.464
2009,674,0.05,1,0.1,7919,0.2,NA,0.25,,0.15,11960,0.05,,NA,3954,NA,4705,1637,2093,1394,NA,2608,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.668,0.241,0.091
2010,757,0.05,1,0.1,8383,0.2,NA,0.25,,0.15,18594,0.05,,NA,NA,NA,3925,NA,1052,1617,NA,1499,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.217,0.696,0.086
2011,862,0.05,1,0.1,8045,0.2,NA,0.25,,0.15,19026,0.05,,NA,7522,3012,2550,1499,1875,2563,1130,1368,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0.29,0.641,0.069
2012,559,0.05,1,0.1,2534,0.2,NA,0.25,,0.15,14096,0.05,,NA,NA,2520,2362,839,667,2366,546,847,NA,NA,,33,110,76,52,23,59,0,0,0,0,0,0.588,0.26,0.152
2013,710,0.05,1,0.1,2319,0.2,NA,0.25,89463,0.1,18531,0.05,,NA,8686,NA,4775,1200,1262,3655,2225,2285,NA,NA,,11,87,79,115,36,92,125,81,107,119,175,0.253,0.583,0.164
2014,648,0.05,1,0.1,2018,0.2,22267,0.13,68225,0.15,16335,0.05,,NA,NA,4242,4202,NA,1011,3506,1918,2256,NA,NA,,8,56,60,55,26,65,48,39,16,40,64,0.48,0.397,0.123
2015,804,0.05,1,0.1,3471,0.2,48400,0.11,88600,0.07,24316,0.05,,NA,NA,NA,4495,NA,3137,4686,1877,2582,NA,NA,,11,50,54,26,12,21,52,36,45,54,46,0.386,0.487,0.127
2016,852,0.05,1,0.1,3000,0.5,31310,0.15,66116,0.06,22874,0.05,,NA,NA,NA,NA,NA,1151,3588,1242,4295,NA,NA,,10,95,68,23,8,27,55,25,43,31,52,0.584,0.347,0.069
2017,1000,0.3,1,0.1,3000,0.5,17804,0.18,45471,0.09,11383,0.05,,NA,NA,NA,2710,748,NA,1601,316,1087,NA,NA,,8,66,70,34,12,31,83,35,23,36,49,0.211,0.692,0.097
