date,length,sex,age,strata
6/7/2024,515,M,1.1,1
6/7/2024,530,M,1.1,1
6/7/2024,525,M,1.1,1
6/7/2024,835,F,1.3,1
6/7/2024,510,M,1.1,1
6/7/2024,510,M,1.1,1
6/7/2024,580,M,1.2,1
6/7/2024,580,M,1.1,1
6/14/2024,460,M,3,1
6/15/2024,530,M,1.1,1
6/15/2024,650,M,1.2,1
6/15/2024,430,M,1.1,1
6/16/2024,550,M,1.1,1
6/16/2024,460,M,3,1
6/16/2024,520,M,1.1,1
6/16/2024,530,M,3,1
6/16/2024,740,M,1.3,1
6/17/2024,700,F,1.3,1
6/17/2024,820,F,1.3,1
6/17/2024,460,M,1.1,1
6/17/2024,540,M,1.1,1
6/17/2024,680,M,1.2,1
6/17/2024,820,F,1.3,1
6/17/2024,740,F,1.3,1
6/18/2024,470,M,1.1,1
6/18/2024,480,F,1.1,1
6/18/2024,540,M,1.1,1
6/18/2024,720,M,1.2,1
6/18/2024,440,M,1.1,1
6/18/2024,470,M,1.1,1
6/18/2024,510,M,1.1,1
6/18/2024,490,M,1.1,1
6/18/2024,330,M,3,1
6/18/2024,540,M,1.1,1
6/19/2024,780,M,1.3,1
6/21/2024,670,M,1.2,1
6/21/2024,550,M,1.1,1
6/21/2024,710,F,1.2,1
6/21/2024,770,F,1.2,1
6/21/2024,670,M,1.3,1
6/22/2024,540,M,3,1
6/22/2024,520,M,1.1,1
6/22/2024,530,M,1.1,1
6/22/2024,560,M,3,1
6/22/2024,470,M,1.1,1
6/22/2024,540,M,1.1,1
6/22/2024,760,F,3,1
6/22/2024,830,F,1.3,1
6/22/2024,660,F,1.2,1
6/22/2024,540,M,1.1,1
6/22/2024,690,M,1.2,1
6/22/2024,590,M,1.2,1
6/22/2024,610,M,1.2,1
6/22/2024,730,F,1.3,1
6/22/2024,480,M,1.1,1
6/22/2024,500,M,1.1,1
6/22/2024,540,M,1.1,1
6/22/2024,700,M,1.2,1
6/22/2024,710,F,1.3,1
6/22/2024,570,M,1.1,1
6/22/2024,730,F,1.3,1
6/22/2024,760,F,1.3,1
6/22/2024,500,M,1.1,1
6/22/2024,510,M,1.1,1
6/22/2024,420,M,1.1,1
6/22/2024,470,M,1.1,1
6/22/2024,560,M,1.2,1
6/22/2024,430,M,5,1
6/22/2024,460,M,1.1,1
6/22/2024,510,M,1.1,1
6/25/2024,490,M,1.1,1
6/25/2024,700,F,1.2,1
6/25/2024,460,M,1.1,1
6/25/2024,580,M,1.2,1
6/25/2024,640,F,1.2,1
6/26/2024,500,M,1.1,1
6/26/2024,730,F,1.3,1
6/26/2024,540,M,1.1,1
6/26/2024,720,M,1.2,1
6/26/2024,740,F,1.3,1
6/26/2024,590,M,1.1,1
6/26/2024,520,M,1.1,1
6/26/2024,720,M,3,1
6/27/2024,570,F,1.1,1
6/27/2024,740,M,1.2,1
6/28/2024,730,F,1.2,1
6/28/2024,740,F,1.3,1
6/28/2024,440,M,1.1,1
6/28/2024,470,M,1.1,1
6/28/2024,380,M,1.1,1
6/28/2024,430,M,1.1,1
6/29/2024,440,M,1.1,1
6/29/2024,470,M,1.1,1
6/29/2024,570,M,1.1,1
6/29/2024,580,M,1.1,1
6/29/2024,540,M,1.1,1
6/29/2024,520,M,1.1,1
6/29/2024,600,M,1.1,1
6/29/2024,550,M,1.1,1
6/30/2024,680,F,1.2,1
6/30/2024,720,F,3,1
6/30/2024,780,F,1.3,1
7/1/2024,550,M,1.1,1
7/1/2024,530,M,1.1,1
7/1/2024,670,M,3,1
7/1/2024,770,M,1.3,1
7/1/2024,510,M,1.1,1
7/1/2024,690,F,3,1
7/1/2024,800,M,1.3,1
7/2/2024,560,M,1.1,1
7/2/2024,580,M,1.1,1
7/2/2024,540,M,1.1,1
7/2/2024,460,M,1.1,1
7/2/2024,540,M,1.1,1
7/2/2024,430,M,1.1,1
7/2/2024,530,M,1.1,1
7/2/2024,650,F,1.2,1
7/2/2024,720,F,1.2,1
7/3/2024,300,M,1.1,1
7/4/2024,530,F,1.1,1
7/4/2024,540,M,1.1,1
7/4/2024,550,M,1.1,1
7/5/2024,510,M,1.1,1
7/5/2024,520,M,1.1,1
7/7/2024,500,M,1.1,1
7/7/2024,470,M,1.1,1
7/7/2024,580,M,6,1
7/7/2024,730,F,1.2,1
7/7/2024,700,M,1.2,1
7/7/2024,440,M,1.1,1
7/7/2024,530,M,1.1,1
7/7/2024,710,F,1.2,1
7/7/2024,690,M,1.2,1
7/7/2024,700,F,1.2,1
7/7/2024,700,F,1.2,1
7/7/2024,860,F,1.4,1
7/7/2024,700,F,1.2,1
7/7/2024,710,M,1.2,1
7/7/2024,790,F,6,1
7/7/2024,540,M,3,1
7/7/2024,710,F,3,1
7/7/2024,500,M,1.1,1
7/7/2024,560,M,1.2,1
7/7/2024,530,M,1.1,1
7/7/2024,590,M,3,1
7/7/2024,600,M,1.2,1
7/7/2024,720,F,1.3,1
7/7/2024,560,M,1.2,1
7/7/2024,600,M,3,1
7/7/2024,510,M,1.1,1
7/7/2024,750,F,1.2,1
7/7/2024,730,M,3,1
7/7/2024,810,F,1.3,1
7/7/2024,450,M,1.1,1
7/7/2024,530,M,1.1,1
7/7/2024,760,F,1.3,1
7/7/2024,730,F,1.3,1
7/7/2024,510,M,1.1,1
7/7/2024,820,M,1.3,1
7/7/2024,570,M,1.1,1
7/7/2024,600,M,1.2,1
7/7/2024,540,M,1.1,1
7/8/2024,540,M,1.1,1
7/8/2024,520,M,1.1,1
7/8/2024,500,M,3,1
7/8/2024,580,M,6,1
7/8/2024,600,M,1.2,1
